[2023-04-02 at 23:08:57] | ---------- New Run ----------
[2023-04-02 at 23:08:57] | Skeletonizing mask...
[2023-04-02 at 23:08:57] | skeletonization is done.
[2023-04-02 at 23:08:57] | Computing centerline...
[2023-04-02 at 23:08:57] | centerline computation is done.
[2023-04-02 at 23:08:57] | Resolving links and nodes...
[2023-04-02 at 23:08:59] | links and nodes have been resolved.
[2023-04-02 at 23:08:59] | Computing distance transform...
[2023-04-02 at 23:08:59] | distance transform done.
[2023-04-02 at 23:08:59] | Computing link widths and lengths...
[2023-04-02 at 23:08:59] | link widths and lengths computed.
[2023-04-02 at 23:08:59] | Generating mesh...
[2023-04-02 at 23:09:00] | mesh generation is done.
[2023-04-02 at 23:10:20] | ---------- New Run ----------
[2023-04-02 at 23:10:20] | Skeletonizing mask...
[2023-04-02 at 23:10:20] | skeletonization is done.
[2023-04-02 at 23:10:20] | Computing centerline...
[2023-04-02 at 23:10:21] | centerline computation is done.
[2023-04-02 at 23:10:21] | Resolving links and nodes...
[2023-04-02 at 23:10:23] | links and nodes have been resolved.
[2023-04-02 at 23:10:23] | Computing distance transform...
[2023-04-02 at 23:10:23] | distance transform done.
[2023-04-02 at 23:10:23] | Computing link widths and lengths...
[2023-04-02 at 23:10:24] | link widths and lengths computed.
[2023-04-02 at 23:10:24] | Generating mesh...
[2023-04-02 at 23:10:24] | mesh generation is done.
[2023-04-02 at 23:24:23] | ---------- New Run ----------
[2023-04-02 at 23:24:23] | Skeletonizing mask...
[2023-04-02 at 23:24:23] | skeletonization is done.
[2023-04-02 at 23:24:23] | Computing centerline...
[2023-04-02 at 23:24:24] | centerline computation is done.
[2023-04-02 at 23:24:24] | Resolving links and nodes...
[2023-04-02 at 23:24:25] | links and nodes have been resolved.
[2023-04-02 at 23:24:25] | Computing distance transform...
[2023-04-02 at 23:24:26] | distance transform done.
[2023-04-02 at 23:24:26] | Computing link widths and lengths...
[2023-04-02 at 23:24:26] | link widths and lengths computed.
[2023-04-02 at 23:24:26] | Generating mesh...
[2023-04-02 at 23:24:26] | mesh generation is done.
[2023-04-02 at 23:25:08] | ---------- New Run ----------
[2023-04-02 at 23:25:08] | Skeletonizing mask...
[2023-04-02 at 23:25:08] | skeletonization is done.
[2023-04-02 at 23:25:08] | Computing centerline...
[2023-04-02 at 23:25:08] | centerline computation is done.
[2023-04-02 at 23:25:08] | Resolving links and nodes...
[2023-04-02 at 23:25:10] | links and nodes have been resolved.
[2023-04-02 at 23:25:10] | Computing distance transform...
[2023-04-02 at 23:25:11] | distance transform done.
[2023-04-02 at 23:25:11] | Computing link widths and lengths...
[2023-04-02 at 23:25:11] | link widths and lengths computed.
[2023-04-02 at 23:25:11] | Generating mesh...
[2023-04-02 at 23:25:11] | mesh generation is done.
[2023-04-02 at 23:30:03] | ---------- New Run ----------
[2023-04-02 at 23:30:03] | Skeletonizing mask...
[2023-04-02 at 23:30:03] | skeletonization is done.
[2023-04-02 at 23:30:03] | Computing centerline...
[2023-04-02 at 23:30:04] | centerline computation is done.
[2023-04-02 at 23:30:04] | Resolving links and nodes...
[2023-04-02 at 23:30:06] | links and nodes have been resolved.
[2023-04-02 at 23:30:06] | Computing distance transform...
[2023-04-02 at 23:30:06] | distance transform done.
[2023-04-02 at 23:30:06] | Computing link widths and lengths...
[2023-04-02 at 23:30:06] | link widths and lengths computed.
[2023-04-02 at 23:30:06] | Generating mesh...
[2023-04-02 at 23:30:06] | mesh generation is done.
[2023-04-02 at 23:33:16] | ---------- New Run ----------
[2023-04-02 at 23:33:16] | Skeletonizing mask...
[2023-04-02 at 23:33:17] | skeletonization is done.
[2023-04-02 at 23:33:17] | Computing centerline...
[2023-04-02 at 23:33:17] | centerline computation is done.
[2023-04-02 at 23:33:17] | Resolving links and nodes...
[2023-04-02 at 23:33:20] | links and nodes have been resolved.
[2023-04-02 at 23:33:20] | Computing distance transform...
[2023-04-02 at 23:33:20] | distance transform done.
[2023-04-02 at 23:33:20] | Computing link widths and lengths...
[2023-04-02 at 23:33:20] | link widths and lengths computed.
[2023-04-02 at 23:33:20] | Generating mesh...
[2023-04-02 at 23:33:20] | mesh generation is done.
[2023-04-02 at 23:36:38] | ---------- New Run ----------
[2023-04-02 at 23:36:38] | Skeletonizing mask...
[2023-04-02 at 23:36:38] | skeletonization is done.
[2023-04-02 at 23:36:38] | Computing centerline...
[2023-04-02 at 23:36:39] | centerline computation is done.
[2023-04-02 at 23:36:39] | Resolving links and nodes...
[2023-04-02 at 23:36:42] | links and nodes have been resolved.
[2023-04-02 at 23:36:42] | Computing distance transform...
[2023-04-02 at 23:36:42] | distance transform done.
[2023-04-02 at 23:36:42] | Computing link widths and lengths...
[2023-04-02 at 23:36:42] | link widths and lengths computed.
[2023-04-02 at 23:36:42] | Generating mesh...
[2023-04-02 at 23:36:43] | mesh generation is done.
[2023-04-02 at 23:38:10] | ---------- New Run ----------
[2023-04-02 at 23:38:10] | Skeletonizing mask...
[2023-04-02 at 23:38:10] | skeletonization is done.
[2023-04-02 at 23:38:10] | Computing centerline...
[2023-04-02 at 23:38:11] | centerline computation is done.
[2023-04-02 at 23:38:11] | Resolving links and nodes...
[2023-04-02 at 23:38:13] | links and nodes have been resolved.
[2023-04-02 at 23:38:13] | Computing distance transform...
[2023-04-02 at 23:38:13] | distance transform done.
[2023-04-02 at 23:38:13] | Computing link widths and lengths...
[2023-04-02 at 23:38:13] | link widths and lengths computed.
[2023-04-02 at 23:38:13] | Generating mesh...
[2023-04-02 at 23:38:13] | mesh generation is done.
[2023-04-02 at 23:40:18] | ---------- New Run ----------
[2023-04-02 at 23:40:18] | Skeletonizing mask...
[2023-04-02 at 23:40:19] | skeletonization is done.
[2023-04-02 at 23:40:19] | Computing centerline...
[2023-04-02 at 23:40:19] | centerline computation is done.
[2023-04-02 at 23:40:19] | Resolving links and nodes...
[2023-04-02 at 23:40:21] | links and nodes have been resolved.
[2023-04-02 at 23:40:21] | Computing distance transform...
[2023-04-02 at 23:40:21] | distance transform done.
[2023-04-02 at 23:40:21] | Computing link widths and lengths...
[2023-04-02 at 23:40:21] | link widths and lengths computed.
[2023-04-02 at 23:40:21] | Generating mesh...
[2023-04-02 at 23:40:22] | mesh generation is done.
[2023-04-02 at 23:41:10] | ---------- New Run ----------
[2023-04-02 at 23:41:10] | Skeletonizing mask...
[2023-04-02 at 23:41:11] | skeletonization is done.
[2023-04-02 at 23:41:11] | Computing centerline...
[2023-04-02 at 23:41:12] | centerline computation is done.
[2023-04-02 at 23:41:12] | Resolving links and nodes...
[2023-04-02 at 23:41:14] | links and nodes have been resolved.
[2023-04-02 at 23:41:14] | Computing distance transform...
[2023-04-02 at 23:41:14] | distance transform done.
[2023-04-02 at 23:41:14] | Computing link widths and lengths...
[2023-04-02 at 23:41:14] | link widths and lengths computed.
[2023-04-02 at 23:41:14] | Generating mesh...
[2023-04-02 at 23:41:14] | mesh generation is done.
[2023-04-02 at 23:47:16] | ---------- New Run ----------
[2023-04-02 at 23:47:16] | Skeletonizing mask...
[2023-04-02 at 23:47:16] | skeletonization is done.
[2023-04-02 at 23:47:16] | Computing centerline...
[2023-04-02 at 23:47:17] | centerline computation is done.
[2023-04-02 at 23:47:17] | Resolving links and nodes...
[2023-04-02 at 23:47:19] | links and nodes have been resolved.
[2023-04-02 at 23:47:19] | Computing distance transform...
[2023-04-02 at 23:47:19] | distance transform done.
[2023-04-02 at 23:47:19] | Computing link widths and lengths...
[2023-04-02 at 23:47:19] | link widths and lengths computed.
[2023-04-02 at 23:47:19] | Generating mesh...
[2023-04-02 at 23:47:19] | mesh generation is done.
[2023-04-02 at 23:48:41] | ---------- New Run ----------
[2023-04-02 at 23:48:41] | Skeletonizing mask...
[2023-04-02 at 23:48:42] | skeletonization is done.
[2023-04-02 at 23:48:42] | Computing centerline...
[2023-04-02 at 23:48:42] | centerline computation is done.
[2023-04-02 at 23:48:42] | Resolving links and nodes...
[2023-04-02 at 23:48:44] | links and nodes have been resolved.
[2023-04-02 at 23:48:44] | Computing distance transform...
